iter	Passed	Remaining
0	0	94
1	1	78
2	2	77
3	3	76
4	4	76
5	4	77
6	5	75
7	6	77
8	7	77
9	8	75
10	9	73
11	9	71
12	10	69
13	11	69
14	12	68
15	12	66
16	13	65
17	14	63
18	14	62
19	15	61
20	15	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	55
27	21	54
28	21	52
29	22	52
30	22	51
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	31
54	37	31
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	13
81	56	12
82	57	11
83	57	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	65	4
94	65	3
95	66	2
96	67	2
97	67	1
98	68	0
99	69	0
